order,cited_count,global,cluster
285,18,66.66666666666666,0
286,18,72.22222222222221,0
287,18,88.88888888888889,0
288,18,88.88888888888889,0
289,18,61.11111111111112,0
290,18,61.11111111111112,0
291,18,88.88888888888889,0
292,18,66.66666666666666,0
293,18,66.66666666666666,0
294,18,77.77777777777779,0
295,18,66.66666666666666,0
296,18,66.66666666666666,0
297,18,83.33333333333334,0
298,17,76.47058823529412,0
299,17,88.23529411764706,0
300,17,76.47058823529412,0
301,17,70.58823529411765,0
302,17,52.94117647058824,0
303,17,70.58823529411765,0
304,17,58.82352941176471,0
305,17,76.47058823529412,0
306,17,64.70588235294117,0
307,17,82.35294117647058,0
308,17,76.47058823529412,0
309,17,70.58823529411765,0
310,17,64.70588235294117,0
311,17,76.47058823529412,0
312,17,70.58823529411765,0
313,17,64.70588235294117,0
314,17,82.35294117647058,0
315,17,70.58823529411765,0
316,17,82.35294117647058,0
317,17,76.47058823529412,0
318,17,64.70588235294117,0
319,17,58.82352941176471,0
320,16,100.0,0
321,16,56.25,0
322,16,81.25,0
323,16,81.25,0
324,16,62.5,0
325,16,68.75,0
326,16,56.25,0
327,16,43.75,0
328,16,37.5,1
329,16,87.5,0
330,16,43.75,0
331,16,93.75,0
332,16,68.75,0
333,15,80.0,0
334,15,60.0,0
335,15,53.333333333333336,0
336,15,86.66666666666667,0
337,15,73.33333333333333,0
338,15,66.66666666666666,0
339,15,93.33333333333331,0
340,15,80.0,0
341,15,53.333333333333336,0
342,15,53.333333333333336,0
343,15,53.333333333333336,0
344,15,46.66666666666666,0
345,15,73.33333333333333,0
346,15,73.33333333333333,0
347,15,80.0,0
348,15,66.66666666666666,0
349,15,73.33333333333333,0
350,15,66.66666666666666,0
351,15,60.0,0
352,15,93.33333333333331,0
353,15,60.0,0
354,15,66.66666666666666,0
355,14,78.57142857142857,0
356,14,71.42857142857143,0
357,14,78.57142857142857,0
358,14,50.0,0
359,14,64.28571428571429,0
360,14,85.71428571428571,0
361,14,71.42857142857143,0
362,14,85.71428571428571,0
363,14,71.42857142857143,0
364,14,78.57142857142857,0
365,14,57.14285714285714,0
366,14,64.28571428571429,0
367,14,85.71428571428571,0
368,14,64.28571428571429,0
369,14,85.71428571428571,0
370,14,85.71428571428571,0
371,14,64.28571428571429,0
372,14,78.57142857142857,0
373,14,50.0,0
374,14,71.42857142857143,0
375,14,64.28571428571429,0
376,13,100.0,0
377,13,76.92307692307693,0
378,13,38.46153846153847,1
379,13,84.61538461538461,0
380,13,76.92307692307693,0
381,13,84.61538461538461,0
382,13,92.3076923076923,0
383,13,69.23076923076923,0
384,13,100.0,0
385,13,53.84615384615385,0
386,13,84.61538461538461,0
387,13,84.61538461538461,0
388,13,76.92307692307693,0
389,13,61.53846153846154,0
390,13,84.61538461538461,0
391,13,61.53846153846154,0
392,13,23.07692307692308,1
393,13,76.92307692307693,0
394,13,84.61538461538461,0
395,13,76.92307692307693,0
396,13,61.53846153846154,0
397,13,76.92307692307693,0
398,13,76.92307692307693,0
399,12,66.66666666666666,0
400,12,58.333333333333336,0
401,12,66.66666666666666,0
402,12,75.0,0
403,12,58.333333333333336,0
404,12,100.0,0
405,12,91.66666666666666,0
406,12,100.0,0
407,12,75.0,0
408,12,58.333333333333336,0
409,12,66.66666666666666,0
410,12,75.0,0
411,12,75.0,0
412,12,58.333333333333336,0
413,12,83.33333333333334,0
414,12,75.0,0
415,12,50.0,0
416,12,58.333333333333336,0
417,12,75.0,0
418,12,33.33333333333333,1
419,12,75.0,0
420,12,83.33333333333334,0
421,12,75.0,0
422,12,75.0,0
423,12,58.333333333333336,0
424,12,50.0,0
425,12,91.66666666666666,0
426,12,75.0,0
427,12,58.333333333333336,0
428,12,83.33333333333334,0
429,12,50.0,0
430,12,66.66666666666666,0
431,12,75.0,0
432,12,58.333333333333336,0
433,12,91.66666666666666,0
434,12,75.0,0
435,12,66.66666666666666,0
436,12,75.0,0
437,12,66.66666666666666,0
438,12,75.0,0
439,12,75.0,0
440,12,91.66666666666666,0
441,12,91.66666666666666,0
442,11,81.81818181818183,0
443,11,72.72727272727273,0
444,11,54.54545454545454,0
445,11,45.45454545454545,0
446,11,81.81818181818183,0
447,11,72.72727272727273,0
448,11,54.54545454545454,0
449,11,27.27272727272727,1
450,11,81.81818181818183,0
451,11,63.63636363636363,0
452,11,63.63636363636363,0
