order,cited_count,year,subject,country
42,57,"['2024~11', '2023~9', '2022~15', '2021~9', '2020~10', '2019~2', '2018~1']","['Chemical Engineering~26', 'Engineering~23', 'Agricultural and Biological Sciences~22', 'Computer Science~13', 'Chemistry~9', 'Physics and Astronomy~9', 'Energy~8', 'Mathematics~6', 'Environmental Science~3', 'Materials Science~3']","['China~24', 'India~7', 'Thailand~6', 'Indonesia~5', 'Iran~4', 'Malaysia~4', 'Turkey~3', 'Brazil~2', 'Czech Republic~2', 'Argentina~1']"
43,57,"['2025~1', '2024~13', '2023~13', '2022~15', '2021~8', '2020~4', '2019~2', '2018~1']","['Agricultural and Biological Sciences~47', 'Biochemistry, Genetics and Molecular Biology~15', 'Chemistry~11', 'Immunology and Microbiology~5', 'Engineering~4', 'Medicine~4', 'Nursing~4', 'Chemical Engineering~3', 'Health Professions~3', 'Pharmacology, Toxicology and Pharmaceutics~3']","['China~52', 'New Zealand~4', 'Thailand~3', 'United States~3', 'India~2', 'Australia~1', 'Austria~1', 'Brazil~1', 'Canada~1', 'Croatia~1']"
44,57,"['2025~1', '2024~6', '2023~8', '2022~8', '2021~12', '2020~9', '2019~11', '2018~2']","['Chemistry~38', 'Engineering~20', 'Biochemistry, Genetics and Molecular Biology~15', 'Chemical Engineering~14', 'Materials Science~10', 'Physics and Astronomy~10', 'Agricultural and Biological Sciences~5', 'Environmental Science~4', 'Computer Science~3', 'Pharmacology, Toxicology and Pharmaceutics~3']","['China~12', 'India~7', 'Iran~6', 'South Korea~5', 'Turkey~5', 'United States~5', 'Brazil~4', 'United Kingdom~4', 'France~3', 'Canada~2']"
45,56,"['2024~6', '2023~9', '2022~5', '2021~15', '2020~14', '2019~5', '2018~2']","['Medicine~25', 'Biochemistry, Genetics and Molecular Biology~24', 'Agricultural and Biological Sciences~20', 'Immunology and Microbiology~17', 'Nursing~8', 'Neuroscience~6', 'Computer Science~4', 'Environmental Science~4', 'Mathematics~4', 'Multidisciplinary~4']","['United States~21', 'Thailand~11', 'China~9', 'Japan~8', 'Singapore~7', 'Netherlands~5', 'Finland~4', 'Indonesia~3', 'Malaysia~3', 'Philippines~3']"
46,56,"['2024~6', '2023~8', '2022~11', '2021~11', '2020~9', '2019~11']","['Chemistry~37', 'Materials Science~33', 'Chemical Engineering~22', 'Engineering~17', 'Energy~12', 'Physics and Astronomy~8', 'Environmental Science~6', 'Biochemistry, Genetics and Molecular Biology~5', 'Medicine~1', 'Multidisciplinary~1']","['China~33', 'Thailand~8', 'United States~6', 'India~5', 'South Korea~5', 'Taiwan~3', 'Australia~2', 'Austria~2', 'Iran~1', 'Morocco~1']"
47,56,"['2024~7', '2023~9', '2022~5', '2021~13', '2020~11', '2019~7', '2018~4']","['Pharmacology, Toxicology and Pharmaceutics~35', 'Biochemistry, Genetics and Molecular Biology~15', 'Chemistry~15', 'Medicine~9', 'Agricultural and Biological Sciences~8', 'Immunology and Microbiology~4', 'Chemical Engineering~3', 'Earth and Planetary Sciences~3', 'Engineering~2', 'Environmental Science~2']","['China~23', 'Portugal~12', 'Italy~7', 'Indonesia~5', 'Thailand~5', 'Russian Federation~4', 'South Korea~3', 'United Kingdom~3', 'Australia~2', 'Germany~2']"
48,56,"['2024~5', '2023~8', '2022~9', '2021~11', '2020~9', '2019~9', '2018~5']","['Agricultural and Biological Sciences~42', 'Environmental Science~15', 'Immunology and Microbiology~13', 'Veterinary~13', 'Biochemistry, Genetics and Molecular Biology~9', 'Medicine~7', 'Chemical Engineering~2', 'Neuroscience~2', 'Chemistry~1', 'Earth and Planetary Sciences~1']","['Thailand~29', 'India~10', 'China~8', 'United States~7', 'Brazil~3', 'Germany~3', 'Malaysia~3', 'Switzerland~3', 'United Kingdom~3', 'Australia~2']"
49,55,"['2024~9', '2023~9', '2022~7', '2021~13', '2020~6', '2019~7', '2018~4']","['Environmental Science~48', 'Engineering~20', 'Energy~16', 'Business, Management and Accounting~9', 'Social Sciences~8', 'Computer Science~5', 'Chemical Engineering~4', 'Biochemistry, Genetics and Molecular Biology~3', 'Earth and Planetary Sciences~3', 'Economics, Econometrics and Finance~3']","['China~17', 'Italy~6', 'South Korea~4', 'United Kingdom~4', 'United States~4', 'Australia~3', 'India~3', 'Mexico~3', 'Poland~3', 'Spain~3']"
50,55,"['2024~7', '2023~12', '2022~13', '2021~11', '2020~8', '2019~2', '2018~2']","['Materials Science~29', 'Physics and Astronomy~21', 'Chemistry~20', 'Energy~6', 'Engineering~5', 'Chemical Engineering~3', 'Medicine~3', 'Environmental Science~2', 'Multidisciplinary~2', 'Agricultural and Biological Sciences~1']","['Thailand~17', 'India~14', 'China~6', 'Iran~4', 'Egypt~3', 'Spain~3', 'Canada~2', 'Chile~2', 'Indonesia~2', 'Lebanon~2']"
51,54,"['2024~13', '2023~9', '2022~13', '2021~6', '2020~8', '2019~5']","['Environmental Science~35', 'Social Sciences~23', 'Business, Management and Accounting~16', 'Agricultural and Biological Sciences~13', 'Energy~10', 'Earth and Planetary Sciences~8', 'Economics, Econometrics and Finance~7', 'Engineering~5', 'Computer Science~3', 'Decision Sciences~3']","['Taiwan~22', 'China~12', 'Indonesia~6', 'Malaysia~6', 'Thailand~4', 'Hong Kong~3', 'Pakistan~3', 'United Kingdom~3', 'Viet Nam~3', 'Italy~2']"
